Family,Genome,Protein,Genus,Species,Classifier
GT62,GCF_000149755.1,XP_009521093.1,Phytophthora,sojae,dbCAN
CBM1,GCA_900074895.1,CZT49353.1,Rhynchosporium,secalis,dbCAN
GH51,GCA_900044135.1,CEF83835.1,Fusarium,graminearum,dbCAN
GH20,GCA_900080155.1,SAM59527.1,Ustilago,bromivora,dbCAN
GH5,GCA_900044135.1,CEF75026.1,Fusarium,graminearum,CAZy
GH13,GCA_003615215.1,RKL46826.1,Fusarium,proliferatum,dbCAN
GH13,GCA_900074885.1,CZT09340.1,Rhynchosporium,commune,dbCAN
GT15,GCA_002894145.1,PNP55093.1,Trichoderma,harzianum,dbCAN
GH3,GCA_900080155.1,SAM84689.1,Ustilago,bromivora,dbCAN
CBM50,GCA_004346965.1,QBZ65056.1,Magnaporthe,oryzae,CAZy
GT39,GCA_012656115.1,KAF4289090.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_900074905.1,CZT06736.1,Rhynchosporium,agropyri,dbCAN
GH16,GCA_000509505.1,ETL91065.1,Phytophthora,parasitica,dbCAN
GH142,GCA_003615115.1,RKK68579.1,Fusarium,oxysporum,dbCAN
GH35,GCA_012656125.1,KAF4282734.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_012656215.1,KAF4261455.1,Aspergillus,fumigatus,dbCAN
GT58,GCA_012656185.1,KAF4265048.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_900044135.1,SCB64278.1,Fusarium,graminearum,CAZy
GH3,GCA_900044135.1,CEF85907.1,Fusarium,graminearum,CAZy
GH115,GCA_900029915.1,CVL08549.1,Fusarium,proliferatum,dbCAN
GH7,GCA_000509525.1,ETM44625.1,Phytophthora,parasitica,dbCAN
CE8,GCA_900044135.1,CEF78207.1,Fusarium,graminearum,CAZy
GH39,GCA_900074905.1,CZT09230.1,Rhynchosporium,agropyri,dbCAN
GT1,GCA_002894145.1,PNP55236.1,Trichoderma,harzianum,dbCAN
GH3,GCA_012552325.1,KAF4131429.1,Phytophthora,infestans,dbCAN
GH28,GCA_012656115.1,KAF4294544.1,Aspergillus,fumigatus,dbCAN
GH76,GCA_002234985.1,OXN04664.1,Aspergillus,fumigatus,dbCAN
AA11,GCA_002894145.1,PNP57775.1,Trichoderma,harzianum,dbCAN
CBM18,GCA_003615185.1,RKL14549.1,Fusarium,oxysporum,dbCAN
GH35,GCA_000988865.1,KKP05943.1,Trichoderma,harzianum,dbCAN
GT2,GCA_003615185.1,RKL30605.1,Fusarium,oxysporum,dbCAN
AA3,GCA_003615155.1,RKK96642.1,Fusarium,oxysporum,dbCAN
GH127,GCA_003615215.1,RKL37972.1,Fusarium,proliferatum,dbCAN
AA3,GCA_900096695.1,SCO85201.1,Fusarium,oxysporum,dbCAN
GH5,GCA_000509465.1,ETK72432.1,Phytophthora,parasitica,dbCAN
GH3,GCA_004346965.1,QBZ56745.1,Magnaporthe,oryzae,CAZy
GH132,GCA_002211485.2,TPR07845.1,Aspergillus,niger,dbCAN
CE5,GCA_002352725.1,PCD27342.1,Fusarium,graminearum,dbCAN
GH5,GCA_900248155.1,SPB51676.1,Aspergillus,niger,dbCAN
GH13,GCA_900074885.1,CZT05519.1,Rhynchosporium,commune,dbCAN
GT32,GCA_000988865.1,KKO97265.1,Trichoderma,harzianum,dbCAN
GT62,GCA_900096695.1,SCO77743.1,Fusarium,oxysporum,dbCAN
GH20,GCA_003290285.1,RBA11629.1,Fusarium,proliferatum,dbCAN
AA3,GCA_003615115.1,RKK77328.1,Fusarium,oxysporum,dbCAN
GT21,GCA_900074885.1,CZT03159.1,Rhynchosporium,commune,dbCAN
CE5,GCF_000149755.1,XP_009532056.1,Phytophthora,sojae,dbCAN
GH43,GCA_002234985.1,OXN03386.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_003615215.1,RKL32145.1,Fusarium,proliferatum,dbCAN
AA9,GCA_900248155.1,SPB46125.1,Aspergillus,niger,dbCAN
GH18,GCA_003615115.1,RKK66660.1,Fusarium,oxysporum,dbCAN
PL1,GCA_900096695.1,SCO85692.1,Fusarium,oxysporum,dbCAN
AA9,GCA_000599445.1,EYB32811.1,Fusarium,graminearum,dbCAN
PL3,GCA_012295175.1,KAF4027867.1,Phytophthora,infestans,dbCAN
CBM35,GCA_012656115.1,KAF4282228.1,Aspergillus,fumigatus,dbCAN
GH133,GCA_900029915.1,CVK89230.1,Fusarium,proliferatum,dbCAN
AA11,GCA_004346965.1,QBZ59046.1,Magnaporthe,oryzae,dbCAN
GT4,GCF_004355905.1,XP_030981220.1,Magnaporthe,grisea,dbCAN
GH31,GCA_012656165.1,KAF4260136.1,Aspergillus,fumigatus,dbCAN
GH30,GCA_002838845.1,PKK50263.1,Trichoderma,harzianum,dbCAN
GT33,GCA_001078535.1,CCI50124.1,Albugo,candida,dbCAN
GT22,GCA_900080155.1,SAM81617.1,Ustilago,bromivora,dbCAN
CE16,GCA_002838845.1,PKK53142.1,Trichoderma,harzianum,dbCAN
GT2,GCA_001515345.1,GAQ34975.1,Aspergillus,niger,dbCAN
AA3,GCA_000509525.1,ETM55628.1,Phytophthora,parasitica,dbCAN
GH36,GCA_002234985.1,OXN07415.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_900248155.1,SPB45015.1,Aspergillus,niger,dbCAN
GT50,GCA_002234985.1,OXN03669.1,Aspergillus,fumigatus,dbCAN
CBM20,GCA_003615165.1,RKK89967.1,Fusarium,oxysporum,dbCAN
GH93,GCA_012656165.1,KAF4272355.1,Aspergillus,fumigatus,dbCAN
GT41,GCA_002894145.1,PNP51445.1,Trichoderma,harzianum,dbCAN
GH30,GCA_000509465.1,ETK93221.1,Phytophthora,parasitica,dbCAN
GH13,GCA_001515345.1,GAQ35931.1,Aspergillus,niger,dbCAN
AA5,GCA_900074885.1,CZT05100.1,Rhynchosporium,commune,dbCAN
GH125,GCA_900074895.1,CZT51573.1,Rhynchosporium,secalis,dbCAN
GT31,GCF_000149755.1,XP_009537134.1,Phytophthora,sojae,dbCAN
GT20,GCA_000509505.1,ETM03001.1,Phytophthora,parasitica,dbCAN
GT24,GCA_012552325.1,KAF4128511.1,Phytophthora,infestans,dbCAN
CBM18,GCA_900074905.1,CZS91761.1,Rhynchosporium,agropyri,dbCAN
GH11,GCA_002838845.1,PKK43895.1,Trichoderma,harzianum,dbCAN
GT32,GCA_900029915.1,CVL05716.1,Fusarium,proliferatum,dbCAN
GT32,GCA_003615115.1,RKK62977.1,Fusarium,oxysporum,dbCAN
CE1,GCA_003615115.1,RKK67141.1,Fusarium,oxysporum,dbCAN
GH72,GCA_012656185.1,KAF4253710.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_002234955.1,OXN23800.1,Aspergillus,fumigatus,dbCAN
GH72,GCA_900044135.1,SCB64853.1,Fusarium,graminearum,CAZy
GH27,GCA_002211485.2,TPR08699.1,Aspergillus,niger,dbCAN
AA11,GCA_002234955.1,OXN23500.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_900044135.1,CEF77713.1,Fusarium,graminearum,CAZy
GH28,GCA_900074895.1,CZT50116.1,Rhynchosporium,secalis,dbCAN
GH5,GCA_001515345.1,GAQ44340.1,Aspergillus,niger,dbCAN
GT4,GCA_003615185.1,RKL28785.1,Fusarium,oxysporum,dbCAN
GH30,GCA_003615215.1,RKL32472.1,Fusarium,proliferatum,dbCAN
GT5,GCA_900248155.1,SPB48532.1,Aspergillus,niger,dbCAN
AA12,GCA_003615165.1,RKK86022.1,Fusarium,oxysporum,dbCAN
CE3,GCA_003615155.1,RKL25660.1,Fusarium,oxysporum,dbCAN
PL4,GCA_000599445.1,EYB33685.1,Fusarium,graminearum,dbCAN
GT32,GCF_004355905.1,XP_030976594.1,Magnaporthe,grisea,dbCAN
AA11,GCA_003615185.1,RKL38259.1,Fusarium,oxysporum,dbCAN
AA7,GCA_012656165.1,KAF4273438.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_002234985.1,OXN04848.1,Aspergillus,fumigatus,dbCAN
GT22,GCA_000509525.1,ETM54107.1,Phytophthora,parasitica,dbCAN
GH30,GCA_002234955.1,OXN26511.1,Aspergillus,fumigatus,dbCAN
GT57,GCA_900029915.1,CVL00953.1,Fusarium,proliferatum,dbCAN
GH18,GCA_002838845.1,PKK47800.1,Trichoderma,harzianum,dbCAN
GH31,GCA_003615155.1,RKL09803.1,Fusarium,oxysporum,dbCAN
CBM18,GCA_003615115.1,RKK65885.1,Fusarium,oxysporum,dbCAN
GH18,GCA_012656115.1,KAF4287923.1,Aspergillus,fumigatus,dbCAN
AA11,GCA_003615215.1,RKL37183.1,Fusarium,proliferatum,dbCAN
GH43,GCF_004355905.1,XP_030979923.1,Magnaporthe,grisea,dbCAN
GH20,GCA_012656165.1,KAF4271623.1,Aspergillus,fumigatus,dbCAN
GH35,GCA_002234985.1,OXN09520.1,Aspergillus,fumigatus,dbCAN
GH12,GCA_003615185.1,RKL23337.1,Fusarium,oxysporum,dbCAN
GH27,GCA_003290285.1,RBA19759.1,Fusarium,proliferatum,dbCAN
GT2,GCF_004355905.1,XP_030985978.1,Magnaporthe,grisea,dbCAN
AA3,GCA_000988865.1,KKP01418.1,Trichoderma,harzianum,dbCAN
CBM6,GCA_003615165.1,RKK95998.1,Fusarium,oxysporum,dbCAN
AA6,GCA_012295175.1,KAF4037640.1,Phytophthora,infestans,dbCAN
GT71,GCF_900000015.1,XP_024575687.1,Plasmopara,halstedii,dbCAN
GH2,GCA_003615215.1,RKL46049.1,Fusarium,proliferatum,dbCAN
GT20,GCA_003615115.1,RKK78616.1,Fusarium,oxysporum,dbCAN
GH3,GCA_002234985.1,OXN04989.1,Aspergillus,fumigatus,dbCAN
PL1,GCA_003615155.1,RKL00493.1,Fusarium,oxysporum,dbCAN
GH0,GCA_003615215.1,RKL32248.1,Fusarium,proliferatum,dbCAN
GH3,GCA_004346965.1,QBZ60328.1,Magnaporthe,oryzae,CAZy
GH13,GCA_002234955.1,OXN26485.1,Aspergillus,fumigatus,dbCAN
CE12,GCA_002211485.2,TPR04146.1,Aspergillus,niger,dbCAN
CBM1,GCA_002234955.1,OXN28869.1,Aspergillus,fumigatus,dbCAN
PL26,GCA_900074895.1,CZT42757.1,Rhynchosporium,secalis,dbCAN
GH17,GCA_900096695.1,SCO87311.1,Fusarium,oxysporum,dbCAN
GT57,GCA_004346965.1,QBZ54631.1,Magnaporthe,oryzae,dbCAN
GH18,GCA_900044135.1,CEF84382.1,Fusarium,graminearum,CAZy
CBM18,GCA_000988865.1,KKP06781.1,Trichoderma,harzianum,dbCAN
CBM6,GCA_900074885.1,CZS95433.1,Rhynchosporium,commune,dbCAN
CBM20,GCA_002234985.1,OXN08702.1,Aspergillus,fumigatus,dbCAN
AA6,GCF_900000015.1,XP_024577819.1,Plasmopara,halstedii,dbCAN
GH49,GCA_003615215.1,RKL32181.1,Fusarium,proliferatum,dbCAN
GT8,GCA_900029915.1,CVK93368.1,Fusarium,proliferatum,dbCAN
GH28,GCA_900096695.1,SCO90972.1,Fusarium,oxysporum,dbCAN
CE8,GCF_000149755.1,XP_009514305.1,Phytophthora,sojae,dbCAN
GT15,GCF_004355905.1,XP_030980704.1,Magnaporthe,grisea,dbCAN
PL9,GCA_900029915.1,CVL09050.1,Fusarium,proliferatum,dbCAN
GT22,GCA_900096695.1,SCO83443.1,Fusarium,oxysporum,dbCAN
GH132,GCA_002838845.1,PKK46306.1,Trichoderma,harzianum,dbCAN
GT69,GCA_900248155.1,SPB47518.1,Aspergillus,niger,dbCAN
GH31,GCA_002234985.1,OXN10050.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_003615215.1,RKL34940.1,Fusarium,proliferatum,dbCAN
CE4,GCA_004346965.1,QBZ58375.1,Magnaporthe,oryzae,dbCAN
AA3,GCA_002211485.2,TPR10588.1,Aspergillus,niger,dbCAN
GH1,GCA_002234985.1,OXN02382.1,Aspergillus,fumigatus,dbCAN
AA8,GCA_003615115.1,RKK75601.1,Fusarium,oxysporum,dbCAN
CE3,GCA_900096695.1,SCO92085.1,Fusarium,oxysporum,dbCAN
GT1,GCA_900074895.1,CZT46160.1,Rhynchosporium,secalis,dbCAN
GH5,GCF_900000015.1,XP_024584838.1,Plasmopara,halstedii,dbCAN
GT2,GCF_000002855.3,XP_001399375.1,Aspergillus,niger,dbCAN
GH78,GCA_012656115.1,KAF4291030.1,Aspergillus,fumigatus,dbCAN
CBM67,GCA_004346965.1,QBZ53531.1,Magnaporthe,oryzae,dbCAN
GH55,GCA_012656115.1,KAF4295094.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_000509465.1,ETK76734.1,Phytophthora,parasitica,dbCAN
GH16,GCA_003290285.1,RBA12796.1,Fusarium,proliferatum,dbCAN
GH125,GCA_000599445.1,EYB27759.1,Fusarium,graminearum,dbCAN
GH105,GCA_012656115.1,KAF4288070.1,Aspergillus,fumigatus,dbCAN
PL1,GCA_000509505.1,ETL84886.1,Phytophthora,parasitica,dbCAN
GH3,GCA_002234955.1,OXN26359.1,Aspergillus,fumigatus,dbCAN
CBM67,GCA_003615115.1,RKK70382.1,Fusarium,oxysporum,dbCAN
GT64,GCA_900044135.1,CEF88455.1,Fusarium,graminearum,CAZy
GH0,GCA_900074905.1,CZT06514.1,Rhynchosporium,agropyri,dbCAN
GH37,GCA_003615165.1,RKK91917.1,Fusarium,oxysporum,dbCAN
GH36,GCA_900080155.1,SAM69874.1,Ustilago,bromivora,CAZy
GH16,GCA_001515345.1,GAQ39890.1,Aspergillus,niger,dbCAN
GH47,GCA_002211485.2,TPR02588.1,Aspergillus,niger,dbCAN
GH30,GCA_000509525.1,ETM52920.1,Phytophthora,parasitica,dbCAN
GH35,GCA_003615155.1,RKK99691.1,Fusarium,oxysporum,dbCAN
GT2,GCA_900074895.1,CZT45503.1,Rhynchosporium,secalis,dbCAN
GH27,GCA_004346965.1,QBZ61811.1,Magnaporthe,oryzae,dbCAN
GH5,GCA_900096695.1,SCO92293.1,Fusarium,oxysporum,dbCAN
GH3,GCA_000599445.1,EYB29418.1,Fusarium,graminearum,dbCAN
GH10,GCA_004346965.1,QBZ65318.1,Magnaporthe,oryzae,dbCAN
AA1,GCA_002234985.1,OXN02780.1,Aspergillus,fumigatus,dbCAN
GH76,GCA_012656185.1,KAF4259656.1,Aspergillus,fumigatus,dbCAN
AA1,GCA_004346965.1,QBZ59810.1,Magnaporthe,oryzae,dbCAN
GH2,GCA_003615185.1,RKL20437.1,Fusarium,oxysporum,dbCAN
GH16,GCA_900096695.1,SCO83408.1,Fusarium,oxysporum,dbCAN
GH5,GCA_012656215.1,KAF4254386.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_003290285.1,RBA09589.1,Fusarium,proliferatum,dbCAN
GH10,GCA_012552325.1,KAF4146452.1,Phytophthora,infestans,dbCAN
AA11,GCA_900029915.1,CVK88002.1,Fusarium,proliferatum,dbCAN
GH55,GCA_012656115.1,KAF4292113.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_900080155.1,SAM78814.1,Ustilago,bromivora,dbCAN
AA3,GCF_000002855.3,XP_001397874.2,Aspergillus,niger,CAZy
GH78,GCA_900074895.1,CZT46020.1,Rhynchosporium,secalis,dbCAN
CE5,GCA_900096695.1,SCO78374.1,Fusarium,oxysporum,dbCAN
CBM42,GCA_003615185.1,RKL35146.1,Fusarium,oxysporum,dbCAN
CBM13,GCA_000509505.1,ETL97527.1,Phytophthora,parasitica,dbCAN
GH47,GCA_012295175.1,KAF4040483.1,Phytophthora,infestans,dbCAN
CBM1,GCA_004346965.1,QBZ63748.1,Magnaporthe,oryzae,CAZy
CE12,GCA_003615165.1,RKL01033.1,Fusarium,oxysporum,dbCAN
GH3,GCA_900044135.1,CEF76991.1,Fusarium,graminearum,dbCAN
GT2,GCA_900044135.1,CEF85950.1,Fusarium,graminearum,dbCAN
GH28,GCA_001515345.1,GAQ45977.1,Aspergillus,niger,dbCAN
GH47,GCA_900096695.1,SCO79081.1,Fusarium,oxysporum,dbCAN
PL1,GCA_002234955.1,OXN26968.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_900074895.1,CZT40971.1,Rhynchosporium,secalis,dbCAN
AA11,GCF_004355905.1,XP_030978284.1,Magnaporthe,grisea,dbCAN
AA11,GCA_012656185.1,KAF4254503.1,Aspergillus,fumigatus,dbCAN
GH88,GCA_003290285.1,RBA19323.1,Fusarium,proliferatum,dbCAN
GH115,GCA_003615155.1,RKK95885.1,Fusarium,oxysporum,dbCAN
GH128,GCA_900029915.1,CVL13435.1,Fusarium,proliferatum,dbCAN
GT48,GCA_004346965.1,QBZ62345.1,Magnaporthe,oryzae,CAZy
GH15,GCA_000599445.1,EYB33302.1,Fusarium,graminearum,dbCAN
GH72,GCA_000509465.1,ETK85257.1,Phytophthora,parasitica,dbCAN
AA9,GCA_012656185.1,KAF4256543.1,Aspergillus,fumigatus,dbCAN
GT1,GCA_002234955.1,OXN28908.1,Aspergillus,fumigatus,dbCAN
GT90,GCA_003615185.1,RKL19107.1,Fusarium,oxysporum,dbCAN
GT31,GCF_003025115.1,XP_024745834.1,Trichoderma,citrinoviride,dbCAN
GH30,GCA_002894145.1,PNP56277.1,Trichoderma,harzianum,dbCAN
GH7,GCA_002894145.1,PNP59208.1,Trichoderma,harzianum,dbCAN
GH72,GCA_003615115.1,RKK81099.1,Fusarium,oxysporum,dbCAN
GT31,GCA_900096695.1,SCO84466.1,Fusarium,oxysporum,dbCAN
CE3,GCA_004346965.1,QBZ55219.1,Magnaporthe,oryzae,dbCAN
GH2,GCA_002838845.1,PKK53041.1,Trichoderma,harzianum,dbCAN
GH18,GCA_000988865.1,KKP07441.1,Trichoderma,harzianum,dbCAN
GH15,GCA_012656115.1,KAF4290597.1,Aspergillus,fumigatus,dbCAN
GH13,GCA_900080155.1,SAM62792.1,Ustilago,bromivora,CAZy
CBM43,GCA_002234985.1,OXN02589.1,Aspergillus,fumigatus,dbCAN
GH18,GCF_900000015.1,XP_024582689.1,Plasmopara,halstedii,dbCAN
GH62,GCA_004346965.1,QBZ57858.1,Magnaporthe,oryzae,CAZy
GT20,GCA_012656185.1,KAF4261156.1,Aspergillus,fumigatus,dbCAN
GH47,GCA_003615185.1,RKL18176.1,Fusarium,oxysporum,dbCAN
GH18,GCA_900044135.1,CEF83947.1,Fusarium,graminearum,dbCAN
GH74,GCA_002352725.1,PCD29892.1,Fusarium,graminearum,dbCAN
CE1,GCA_900074885.1,CZT00349.1,Rhynchosporium,commune,dbCAN
AA3,GCA_900074885.1,CZS90871.1,Rhynchosporium,commune,dbCAN
GH30,GCA_000988865.1,KKP06891.1,Trichoderma,harzianum,dbCAN
GH76,GCA_900029915.1,CVK96218.1,Fusarium,proliferatum,dbCAN
AA9,GCA_003615165.1,RKL09035.1,Fusarium,oxysporum,dbCAN
GH12,GCA_000509525.1,ETM37184.1,Phytophthora,parasitica,dbCAN
GH1,GCA_003615165.1,RKK91987.1,Fusarium,oxysporum,dbCAN
GH16,GCA_003615165.1,RKL02283.1,Fusarium,oxysporum,dbCAN
CE1,GCF_004355905.1,XP_030980498.1,Magnaporthe,grisea,dbCAN
AA3,GCA_900074905.1,CZT07593.1,Rhynchosporium,agropyri,dbCAN
GH20,GCA_001515345.1,GAQ33224.1,Aspergillus,niger,dbCAN
GT2,GCF_000002855.3,XP_001390511.2,Aspergillus,niger,dbCAN
GT31,GCA_900044135.1,SCB64971.1,Fusarium,graminearum,CAZy
GH63,GCA_001515345.1,GAQ40974.1,Aspergillus,niger,dbCAN
GH16,GCA_012656165.1,KAF4259238.1,Aspergillus,fumigatus,dbCAN
GT39,GCA_003615215.1,RKL30152.1,Fusarium,proliferatum,dbCAN
AA9,GCA_003290285.1,RBA15759.1,Fusarium,proliferatum,dbCAN
GH47,GCA_004346965.1,QBZ56083.1,Magnaporthe,oryzae,CAZy
CE5,GCA_900029915.1,CVK90920.1,Fusarium,proliferatum,dbCAN
GH20,GCA_900074905.1,CZT13395.1,Rhynchosporium,agropyri,dbCAN
GT2,GCA_003615185.1,RKL42972.1,Fusarium,oxysporum,dbCAN
GH5,GCA_900096695.1,SCO86042.1,Fusarium,oxysporum,dbCAN
CBM50,GCA_900044135.1,CEF78377.1,Fusarium,graminearum,CAZy
GH2,GCA_000988865.1,KKP06978.1,Trichoderma,harzianum,dbCAN
GT22,GCA_000509525.1,ETM54110.1,Phytophthora,parasitica,dbCAN
GH1,GCA_002838845.1,PKK47788.1,Trichoderma,harzianum,dbCAN
PL3,GCA_003615155.1,RKL03426.1,Fusarium,oxysporum,dbCAN
GH3,GCA_900096695.1,SCO87997.1,Fusarium,oxysporum,dbCAN
GH79,GCA_001515345.1,GAQ42987.1,Aspergillus,niger,dbCAN
GH18,GCA_002211485.2,TPR03417.1,Aspergillus,niger,dbCAN
GT39,GCA_004346965.1,QBZ65756.1,Magnaporthe,oryzae,CAZy
GH36,GCA_002352725.1,PCD30213.1,Fusarium,graminearum,dbCAN
GT71,GCF_000149755.1,XP_009528053.1,Phytophthora,sojae,dbCAN
GH12,GCA_000509505.1,ETL83799.1,Phytophthora,parasitica,dbCAN
GH1,GCA_000599445.1,EYB27394.1,Fusarium,graminearum,dbCAN
GH13,GCA_012656125.1,KAF4286862.1,Aspergillus,fumigatus,dbCAN
PL3,GCA_900074885.1,CZS89216.1,Rhynchosporium,commune,dbCAN
CBM1,GCA_900044135.1,CEF78665.1,Fusarium,graminearum,dbCAN
GH16,GCA_002352725.1,PCD31839.1,Fusarium,graminearum,dbCAN
GH105,GCA_003290285.1,RBA22550.1,Fusarium,proliferatum,dbCAN
CE12,GCA_900029915.1,CVL12108.1,Fusarium,proliferatum,dbCAN
GT2,GCA_900074885.1,CZT00016.1,Rhynchosporium,commune,dbCAN
GH114,GCA_000509485.1,ETL24277.1,Phytophthora,parasitica,dbCAN
CBM18,GCA_900044135.1,CEF85876.1,Fusarium,graminearum,dbCAN
GH3,GCA_003615115.1,RKK75642.1,Fusarium,oxysporum,dbCAN
GH78,GCA_012295175.1,KAF4039123.1,Phytophthora,infestans,dbCAN
GH55,GCA_000988865.1,KKP01538.1,Trichoderma,harzianum,dbCAN
GT71,GCA_003615185.1,RKL39447.1,Fusarium,oxysporum,dbCAN
GT22,GCA_000509505.1,ETM00929.1,Phytophthora,parasitica,dbCAN
GH30,GCA_000509505.1,ETL84554.1,Phytophthora,parasitica,dbCAN
GH13,GCA_000988865.1,KKP01100.1,Trichoderma,harzianum,dbCAN
CBM18,GCA_000988865.1,KKP02188.1,Trichoderma,harzianum,dbCAN
AA9,GCA_900044135.1,CEF74460.1,Fusarium,graminearum,CAZy
GT2,GCA_002211485.2,TPR00973.1,Aspergillus,niger,dbCAN
CE4,GCA_900029915.1,CVL06325.1,Fusarium,proliferatum,dbCAN
GH2,GCA_002211485.2,TPR05275.1,Aspergillus,niger,dbCAN
GH47,GCA_012656215.1,KAF4252158.1,Aspergillus,fumigatus,dbCAN
GH51,GCA_900096695.1,SCO92266.1,Fusarium,oxysporum,dbCAN
AA8,GCA_900074905.1,CZT03150.1,Rhynchosporium,agropyri,dbCAN
GT71,GCA_000509465.1,ETK74850.1,Phytophthora,parasitica,dbCAN
PL1,GCA_004346965.1,QBZ64356.1,Magnaporthe,oryzae,dbCAN
GH15,GCA_012656165.1,KAF4268756.1,Aspergillus,fumigatus,dbCAN
GH134,GCA_012656125.1,KAF4280537.1,Aspergillus,fumigatus,dbCAN
CBM20,GCA_003615165.1,RKK83324.1,Fusarium,oxysporum,dbCAN
GH5,GCA_001078535.1,CCI50365.1,Albugo,candida,dbCAN
GH18,GCA_012656215.1,KAF4256895.1,Aspergillus,fumigatus,dbCAN
GT62,GCA_900029915.1,CVL13378.1,Fusarium,proliferatum,dbCAN
GH17,GCA_900044135.1,CEF84856.1,Fusarium,graminearum,CAZy
GH32,GCA_000509485.1,ETL41922.1,Phytophthora,parasitica,dbCAN
GT71,GCA_000509465.1,ETK94174.1,Phytophthora,parasitica,dbCAN
GH32,GCA_003615165.1,RKL02206.1,Fusarium,oxysporum,dbCAN
AA3,GCA_002234985.1,OXN06503.1,Aspergillus,fumigatus,dbCAN
GH78,GCA_012656115.1,KAF4283393.1,Aspergillus,fumigatus,dbCAN
GT1,GCA_900044135.1,CEF72977.1,Fusarium,graminearum,CAZy
GH28,GCA_900248155.1,SPB50778.1,Aspergillus,niger,dbCAN
CE8,GCA_002234985.1,OXN09531.1,Aspergillus,fumigatus,dbCAN
GH15,GCA_002234955.1,OXN23619.1,Aspergillus,fumigatus,dbCAN
GH0,GCA_000988865.1,KKP03601.1,Trichoderma,harzianum,dbCAN
GH7,GCA_002211485.2,TPR08314.1,Aspergillus,niger,dbCAN
CE12,GCA_012656165.1,KAF4276053.1,Aspergillus,fumigatus,dbCAN
GT20,GCF_004355905.1,XP_030981702.1,Magnaporthe,grisea,dbCAN
GT4,GCA_000509525.1,ETM47750.1,Phytophthora,parasitica,dbCAN
GH65,GCF_003025115.1,XP_024749545.1,Trichoderma,citrinoviride,dbCAN
GH16,GCF_000149755.1,XP_009514441.1,Phytophthora,sojae,dbCAN
GH16,GCA_003615165.1,RKK87898.1,Fusarium,oxysporum,dbCAN
GH11,GCA_002234955.1,OXN25467.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_003615165.1,RKK85305.1,Fusarium,oxysporum,dbCAN
AA1,GCA_001078535.1,CCI41626.1,Albugo,candida,dbCAN
GH23,GCA_003615215.1,RKL24304.1,Fusarium,proliferatum,dbCAN
GH5,GCA_002234985.1,OXN02761.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_012656115.1,KAF4293630.1,Aspergillus,fumigatus,dbCAN
GH63,GCF_004355905.1,XP_030980880.1,Magnaporthe,grisea,dbCAN
GH13,GCA_012656125.1,KAF4286010.1,Aspergillus,fumigatus,dbCAN
GH36,GCA_012656185.1,KAF4269708.1,Aspergillus,fumigatus,dbCAN
CE8,GCA_000509525.1,ETM50405.1,Phytophthora,parasitica,dbCAN
PL3,GCA_900029915.1,CVL08941.1,Fusarium,proliferatum,dbCAN
GH43,GCA_003615215.1,RKL49384.1,Fusarium,proliferatum,dbCAN
GT62,GCF_000002855.3,XP_001401491.1,Aspergillus,niger,dbCAN
GH16,GCA_900096695.1,SCO91403.1,Fusarium,oxysporum,dbCAN
GH76,GCA_900096695.1,SCO76349.1,Fusarium,oxysporum,dbCAN
AA1,GCA_004346965.1,QBZ63059.1,Magnaporthe,oryzae,dbCAN
CE5,GCA_000509505.1,ETL98248.1,Phytophthora,parasitica,dbCAN
GH5,GCA_000509485.1,ETL30164.1,Phytophthora,parasitica,dbCAN
GH128,GCA_002352725.1,PCD36695.1,Fusarium,graminearum,dbCAN
CE5,GCA_003290285.1,RBA11346.1,Fusarium,proliferatum,dbCAN
GT71,GCA_004346965.1,QBZ53650.1,Magnaporthe,oryzae,CAZy
CE5,GCA_012295175.1,KAF4028554.1,Phytophthora,infestans,dbCAN
GH78,GCA_002838845.1,PKK50930.1,Trichoderma,harzianum,dbCAN
GH76,GCA_000599445.1,EYB29442.1,Fusarium,graminearum,dbCAN
GH29,GCF_004355905.1,XP_030977558.1,Magnaporthe,grisea,dbCAN
AA9,GCA_002211485.2,TPR02139.1,Aspergillus,niger,dbCAN
GH81,GCA_002894145.1,PNP60132.1,Trichoderma,harzianum,dbCAN
AA3,GCA_003615115.1,RKK75203.1,Fusarium,oxysporum,dbCAN
GH114,GCA_900248155.1,SPB47737.1,Aspergillus,niger,dbCAN
AA3,GCF_004355905.1,XP_030977414.1,Magnaporthe,grisea,dbCAN
CE5,GCA_012656215.1,KAF4269768.1,Aspergillus,fumigatus,dbCAN
CE15,GCF_003025115.1,XP_024751726.1,Trichoderma,citrinoviride,dbCAN
